LOT,FOLDER_NAME,OFFICIAL_NAME,COOLNESS_RATING,DESCRIPTION,SPECIFICATIONS,PRICE,PRICE ESTIMATE HYPERLINKS,CATEGORY
LOT_033,LOT_033_Fishman_Loudbox_Mini_Acoustic_Guitar_Amplifier,Fishman Loudbox Mini Acoustic Guitar Amplifier,2 Stars,"The acoustic amp for coffee shop performers who want to be heard without being hated. Dual channels mean you can sing and play simultaneously without sounding like you're performing through a tin can. Compact size won't get you banned from open mic nights, but the sound quality might actually get you invited back.","Power Output | 60 watts | Channels | 2 channels (instrument and microphone) | Speaker | 6.5-inch woofer + tweeter | Effects | Digital reverb and chorus | EQ | 3-band EQ per channel | Inputs | 1/4"" instrument, XLR/1/4"" combo mic input | Features | Feedback-fighting notch and phase controls | Aux Input | 1/8"" auxiliary input for backing tracks | Headphone Output | 1/4"" headphone jack | Construction | Plywood cabinet with vinyl covering | Weight | 20 lbs | Dimensions | 12 x 12 x 9.25 inches",$299-$399,https://www.amazon.com/fishman-loudbox-mini-acoustic-amplifier,DJ Rizzler
LOT_034,LOT_034_Vintage_Professional_Disco_Light_Package_Heavy_Duty,Vintage Professional Disco Light Package - Heavy Duty,2 Stars,"The party equipment that transforms your basement into Studio 54's distant cousin. Heavy-duty construction from an era when electronics were built to survive actual dancing instead of gentle Instagram posing. Perfect for theme parties, retro events, and convincing people you're way cooler than your day job suggests.","Mirror Ball | Large rotating disco mirror ball with motor | Spot Lights | Multiple colored spot lights with gel filters | Strobe Lights | Variable speed strobe lighting effects | Construction | Heavy-duty metal housing and mounting hardware | Control | DMX compatibility with manual override switches | Power | 110-120V AC operation | Effects | Color changing, rotation, and pattern projection | Mounting | Professional lighting truss compatible | Cables | All necessary power and control cables included | Weight | Approximately 45-60 lbs total package | Era | Authentic 1970s-1980s disco styling",$299-$499,https://www.amazon.com/vintage-disco-light-package,Gadgets
LOT_035,LOT_035_Waeco_Car_Refrigerator,Dometic (Waeco) CF-50 Portable Electric Cooler/Freezer,2 Stars,"The road trip upgrade that eliminates gas station food emergencies and expensive hotel mini-bars. Precision temperature control keeps beer cold and medication safe without the drama of ice chests. Perfect for overlanding enthusiasts, RV owners, and anyone who considers warm soda a personal insult.","Capacity | 47 liters (1.6 cu ft) | Temperature Range | +50°F to -7°F (-18°C to +10°C) | Power | 12/24V DC, 100-240V AC (with adapter) | Compressor | Danfoss variable speed compressor | Insulation | High-density foam insulation | Control | Digital temperature display and control | Protection | Low voltage cut-off, over/under voltage protection | Efficiency | Energy-efficient operation | Construction | Robust plastic housing | Dimensions | 25.4 x 15.7 x 18.5 inches | Weight | 42 lbs | Accessories | AC adapter, DC power cord",$799-$999,https://www.amazon.com/dometic-cf50-portable-cooler,Gadgets > Portable Display
LOT_036,LOT_036_Jinxnobi_Wall_Mount_Safe,Jinxnobi Wall Mount Safe,3 Stars,"The SentrySafe X125 is a large-capacity wall mount security safe designed for protecting valuables, documents, and firearms. Featuring digital lock technology, solid steel construction, and spacious interior, it provides maximum security and storage capacity while maintaining concealed wall installation capability.","Capacity | 1.25 cubic feet interior space | Construction | Solid steel with reinforced door | Lock | Digital electronic lock with override key | Bolts | Multiple live-locking bolts | Installation | Between-the-studs wall mounting | Interior | Adjustable shelf with door organizer | Dimensions | 16.3"" W x 19.3"" D x 17.8"" H | Door Thickness | 1.5 inches | Wall Thickness | 4 inches deep | Security | Pre-drilled anchor holes | Weight | 65 lbs | Power | 4 AA batteries (backup key included)",$199-$299,https://www.amazon.com/sentrysafe-x125-wall-safe,Computing
LOT_037,LOT_037_Stealth_Hidden_Wall_Safe_22_8_x_15_4_Black,"Stealth Hidden Wall Safe - 22.8"" x 15.4"" Black",3 Stars,"This large hidden wall safe features concealed installation between wall studs with a discreet black finish. Designed to blend seamlessly with wall surfaces, it provides secure storage for firearms, documents, and valuables while maintaining complete concealment from view with professional-grade locking mechanisms.","Dimensions | 22.8"" H x 15.4"" W x 4"" D | Concealment | Flush wall installation, paintable surface | Lock Type | Digital electronic lock with backup key access | Construction | 14-gauge steel with reinforced frame | Installation | Between 16"" stud spacing | Interior | Foam-lined with removable shelving | Security | Multiple locking bolts, tamper alerts | Finish | Matte black powder coating | Capacity | Large document/firearm storage | Mounting | Hidden mounting system included | Weight | 45 lbs | Power | Long-life battery operation",$299-$399,https://www.amazon.com/stealth-hidden-wall-safe,PC
LOT_038,LOT_038_Wemax_Dice_Mini_Portable_1080P_Projector,Wemax Dice Mini Portable 1080P Projector,4 Stars,"The entertainment system that fits in your pocket and makes hotel room TVs obsolete. True 1080P projection from a device smaller than most power banks, because apparently we're living in the future now. Built-in Android means it's basically a smart TV that goes anywhere you do. Perfect for impromptu movie nights, business presentations that don't suck, and making camping trips more civilized.","Resolution: Full HD 1080P native projection ; Brightness: 600 ANSI lumens ; Size: 4.7"" x 4.7"" x 1.7"" (700g) ; OS: Android 9.0 with WiFi streaming ; Battery: 2.5 hours continuous playback",$599-$799,https://www.amazon.com/wemax-dice-mini-projector,Gadgets > Projector
LOT_039,LOT_039_Wemax_Go_Advanced_Portable_Laser_Projector,Wemax Go Advanced Portable Laser Projector,4 Stars,"The Wemax Go Advanced is a premium portable laser projector featuring 4K UHD resolution and advanced laser light technology. With exceptional brightness, color accuracy, and smart features, it delivers cinema-quality projection in a compact, portable design perfect for professional and entertainment applications.","Resolution | 4K UHD (3840 x 2160) | Brightness | 2100 ANSI lumens (laser light source) | Projection Size | 40-300 inches | Color | 107% Rec.709 color gamut | OS | Android TV 9.0 with Netflix, YouTube | Connectivity | Wi-Fi 6, Bluetooth 5.0, HDMI 2.1, USB-C | Audio | Dolby Audio with 2x 8W speakers | Auto Features | Auto focus, auto keystone, obstacle avoidance | Laser Life | 25,000+ hours | Dimensions | 212 x 212 x 143mm | Weight | 3.9 lbs (1.8kg) | HDR Support | HDR10, HLG","$1,499-$1,999",https://www.amazon.com/wemax-go-laser-projector,Gadgets > Projector
LOT_040,LOT_040_XREAL_Air_AR_Smart_Glasses_1st_Generation,XREAL Air AR Smart Glasses (1st Generation),4 Stars,"Welcome to the future, where you can binge Netflix while appearing to maintain eye contact during meetings. These AR smart glasses are either the most brilliant productivity hack ever invented, or the final nail in the coffin of human social interaction. Either way, you're gonna look like a tech wizard wearing them. 130-inch virtual display that only you can see. Your coworkers will think you're deeply contemplating quarterly reports. You'll actually be watching YouTube reviews of other expensive gadgets you don't need.","Display: 130"" virtual screen ; Weight: 79g (ultralight) ; Battery: 3.5 hours continuous ; Compatibility: iOS, Android, Windows ; Resolution: 1920x1080 per eye",$379-$499,https://www.amazon.com/xreal-air-ar-glasses,Gadgets > Augmented Reality
LOT_041,LOT_041_XREAL_Air_2_AR_Smart_Glasses_2nd_Generation,XREAL Air 2 AR Smart Glasses (2nd Generation),6 stars,"The XREAL Air 2 represents the next evolution in AR smart glasses, featuring enhanced display technology, improved ergonomics, and advanced features. With better color accuracy, higher brightness, and refined design, it delivers an superior augmented reality experience for entertainment, productivity, and gaming applications.","Display | Sony Micro-OLED with enhanced color accuracy | Resolution | 1920 x 1080 per eye (Full HD) | Virtual Screen | Up to 330-inch equivalent display | Brightness | 500 nits (25% brighter than Air 1) | Field of View | 46° diagonal | Refresh Rate | Up to 120Hz | Connectivity | USB-C with universal compatibility | Weight | 72g (10% lighter than previous generation) | Audio | Enhanced directional speakers with better bass | Design | Improved ergonomics with better weight distribution | Compatibility | iPhone, Android, Steam Deck, laptops, consoles | Features | Electrochromic dimming, prescription lens support",$399-$549,https://www.amazon.com/xreal-air-2-ar-glasses,Gadgets > Augmented Reality
LOT_042,LOT_042_XREAL_Beam_Spatial_Computing_Device_1st_Generation,XREAL Beam Spatial Computing Device (1st Generation),3 Stars,"The XREAL Beam is a companion spatial computing device designed to enhance XREAL Air glasses functionality. It enables wireless connectivity, spatial anchoring, and advanced AR features, transforming the AR glasses into a complete spatial computing system for immersive experiences and productivity applications.","Purpose | Spatial computing companion for XREAL Air glasses | Connectivity | Wi-Fi 6, Bluetooth 5.2 | Processing | Custom spatial computing chipset | Features | 6DoF tracking, spatial anchoring | Wireless | Enables wireless AR experience | Battery | Built-in battery for extended use | Compatibility | XREAL Air and Air 2 glasses | Tracking | Inside-out tracking technology | Apps | Access to XREAL AR app ecosystem | Controls | Touch-sensitive surface controls | Dimensions | Compact portable design | Weight | Lightweight for portability",$199-$299,https://www.amazon.com/xreal-beam-spatial-computing,Gadgets > Augmented Reality
LOT_043,LOT_043_XREAL_Beam_Pro_Spatial_Computing_Device_2nd_Generation,XREAL Beam Pro Spatial Computing Device (2nd Generation),6 stars,"The XREAL Beam Pro is the advanced second-generation spatial computing device that elevates AR experiences with XREAL glasses. Featuring enhanced processing power, improved tracking accuracy, and expanded functionality, it delivers professional-grade spatial computing capabilities for developers and power users.","Processing | Upgraded spatial computing processor | Tracking | Enhanced 6DoF tracking with improved accuracy | Connectivity | Wi-Fi 6E, Bluetooth 5.3 | Display Support | Enhanced spatial display management | Battery Life | Extended battery for all-day use | Storage | Increased onboard storage capacity | Features | Advanced hand tracking, gesture recognition | Development | SDK support for AR app development | Compatibility | XREAL Air, Air 2, and future models | Performance | Reduced latency, smoother experience | Controls | Improved touch interface and voice commands | Build | Premium materials and refined design",$299-$399,https://www.amazon.com/xreal-beam-pro-spatial-computing,Gadgets > Augmented Reality
LOT_044,LOT_044_FeiyuTech_WG2X_3_Axis_Wearable_Gimbal_Stabilizer,FeiyuTech WG2X 3-Axis Wearable Gimbal Stabilizer,4 Stars,"The FeiyuTech WG2X is a professional 3-axis wearable gimbal stabilizer designed for action cameras like GoPro. It features a waterproof design, multiple mounting options, and intelligent stabilization algorithms to capture smooth, steady footage during extreme sports and outdoor adventures.","Compatibility | GoPro Hero 10/9/8/7/6/5, DJI Osmo Action, and similar-sized action cameras | Stabilization | 3-axis (pan, tilt, roll) with 360° rotation | Waterproof | Splash-proof design (IPX67 rating) | Battery Life | Up to 3 hours | Mounting | Multiple attachment points for body mounting, poles, etc. | Control | One-key operation, smartphone app control | Modes | Auto-rotation, follow mode, lock mode | Weight | 205g (without camera) | Dimensions | 118 x 77 x 33mm (4.6 x 3.0 x 1.3 in)",$199-$299,https://www.amazon.com/feiyu-tech-wg2x-gimbal,Cell Phones
LOT_045,LOT_045_Frunsi_15_6_inch_Dual_Portable_Monitor_for_Laptop,Frunsi 15.6-inch Dual Portable Monitor for Laptop,4 Stars,"The Frunsi Dual Folding Monitor is an innovative dual-screen portable display solution that attaches to laptops to create a triple-screen workspace. It features two 15.6-inch Full HD displays in a foldable design, perfect for enhancing productivity on the go with seamless multi-tasking capabilities.",Display | Dual 15.6-inch IPS LCD panels | Resolution | 1920 x 1080 Full HD per screen | Connectivity | USB-C (single cable for both displays) | Compatibility | 13-17 inch laptops | Design | 360° rotating and foldable | Installation | Magnetic attachment system | Weight | 3.3 lbs (1.5 kg) for both monitors | Thickness | 0.35 inches per monitor | Brightness | 300 nits | Viewing Angle | 178° horizontal and vertical,$399-$599,https://www.amazon.com/frunsi-dual-portable-monitor,Gadgets > Portable Display
LOT_046,LOT_046_GameSir_X2_Pro_Mobile_Gaming_Controller,GameSir X2 Bluetooth Mobile Gaming Controller,4 Stars,"The GameSir X2 is a premium mobile gaming controller designed for smartphones, featuring console-quality controls and ergonomic design. It transforms your phone into a portable gaming console with responsive buttons, analog sticks, and wide compatibility across iOS and Android platforms.","Compatibility | iOS 13.0+, Android 8.0+, smartphones 4.3-6.8 inches | Connection | Bluetooth 5.0 | Battery Life | Up to 18 hours of gameplay | Controls | D-pad, dual analog sticks, ABXY buttons, shoulder triggers | Design | Stretchable to fit various phone sizes | Latency | Ultra-low latency gaming | Supported Games | Xbox Game Pass Ultimate, Steam Link, GeForce Now, Stadia | Charging | USB-C port | Weight | 270g (without phone)",$59-$79,https://www.amazon.com/gamesir-x2-mobile-controller,Apple
LOT_047,LOT_047_Geminos_T_Dual_28_inch_4K_Stacked_Monitor_System,Geminos T Dual 28-inch 4K Stacked Monitor System,6 stars,The Geminos T is a revolutionary dual 28-inch 4K monitor system featuring a unique stacked configuration that maximizes vertical screen real estate. This innovative setup provides an immersive productivity experience with seamless multi-tasking capabilities and premium display quality in a space-efficient design.,"Display | Dual 28-inch 4K UHD (3840 x 2160) IPS panels | Configuration | Vertically stacked design | Total Resolution | 3840 x 4320 pixels combined | Refresh Rate | 60Hz per monitor | Color Accuracy | 99% sRGB, 95% DCI-P3 | Connectivity | USB-C, HDMI 2.0, DisplayPort 1.4 | Stand | Proprietary dual-monitor mounting system | Adjustability | Height, tilt, and swivel adjustment | Power | Single power connection for both monitors | VESA Compatible | 100x100mm mounting","$1,999-$2,499",https://www.amazon.com/geminos-t-dual-monitor-system,Gadgets > Portable Display
LOT_048,LOT_048_GIVI_Monokey_Motorcycle_Panniers,GIVI Monokey Side Case System (Pair),3 Stars,"The GIVI Monokey Paniers are professional motorcycle side cases featuring the patented Monokey mounting system for secure and quick attachment/detachment. These durable, weather-resistant panniers offer excellent storage capacity and security for motorcycle touring and commuting applications.","Capacity | 37 liters per case (74L total) | Material | High-impact ABS plastic construction | Mounting | GIVI Monokey quick-release system | Security | Integrated lock with GIVI Security Lock | Weather Protection | Fully waterproof design | Compatibility | Universal fitment with GIVI mounting plates | Dimensions | 50 x 33 x 23 cm per case | Weight | 4.2 kg per case (8.4 kg total) | Color Options | Black, Silver | Accessories | Mounting hardware included",$299-$399,https://www.amazon.com/givi-monokey-panniers,Computing
LOT_049,LOT_049_GoPro_HERO7_Black_Action_Camera,GoPro HERO7 Black Action Camera,3 Stars,"The camera that turns weekend warriors into action movie stars. HyperSmooth stabilization so good it makes expensive gimbals cry. Waterproof enough for underwater adventures, tough enough for your clumsiest moments. Whether you're documenting your mountain bike crashes or creating content that makes your friends jealous, this little beast captures it all in Hollywood quality.",Video: 4K60 with HyperSmooth stabilization ; Photos: 12MP with SuperPhoto HDR ; Waterproof: 33ft (10m) without housing ; Voice Control: 14 commands in 10 languages ; LiveStream: Direct to social platforms,$199-$299,https://www.amazon.com/gopro-hero7-black,Photography/Videography
LOT_050,LOT_050_SentrySafe_Fire_Resistant_Home_Safe_Box,SentrySafe Fireproof Home Safe with Digital Lock,2 Stars,"The SentrySafe Fireproof Home Safe is a premium security solution designed to protect valuable documents, cash, and small electronics from fire and theft. It features digital lock technology, fireproof construction, and waterproof sealing to provide comprehensive protection for important items.","Fire Protection | UL Classified for 1 hour at 1700°F | Water Protection | ETL Verified for 24 hours in 8 inches of water | Capacity | 1.23 cubic feet interior space | Lock Type | Digital electronic lock with override key | Construction | Solid steel with fire-resistant insulation | Bolt-Down Hardware | 4 pre-drilled holes with hardware included | Interior | Adjustable shelf and door organizer | Dimensions | 16.3"" W x 19.3"" D x 17.8"" H | Weight | 108 lbs | Warranty | Lifetime after-fire replacement guarantee",$149-$249,https://www.amazon.com/sentrysafe-fireproof-home-safe,Gadgets
LOT_052,LOT_052_Insta360_Pocket_2_Action_Camera,DJI Pocket 2 Creator Combo Handheld Camera,4 Stars,"Professional-grade filmmaking equipment disguised as something that fits in your actual pocket. This tiny powerhouse shoots 4K video with stabilization so smooth it makes gimbals feel inadequate. AI tracking that follows you around like a personal camera operator. Perfect for solo content creators, travel documentarians, and anyone who believes the best camera is the one you actually have with you.",Video: 4K30fps with FlowState stabilization ; Photos: 64MP with AI scene detection ; Tracking: ActiveTrack 6.0 subject following ; Size: 4.9cm x 3.1cm x 2.1cm (117g) ; Storage: MicroSD up to 1TB supported,$429-$599,https://www.amazon.com/dji-pocket-2,Computing
LOT_053,LOT_053_INVZI_MagHub_8_in_1_USB_C_Docking_Station,INVZI MagHub 8-in-1 USB-C Docking Station for MacBook,4 Stars,The MacBook accessory that magnetically attaches like it was always meant to be there. Eight ports of connectivity in a form factor that doesn't make your laptop look like it's having an allergic reaction to dongles. Premium aluminum construction means it won't look cheap next to your expensive computer.,"Ports | 2x USB-A 3.0, USB-C PD (100W), HDMI 4K@60Hz, SD/microSD readers, 3.5mm audio, Ethernet | Attachment | Magnetic mounting system for MacBook | Power Delivery | Up to 100W USB-C charging | Display Output | 4K@60Hz via HDMI | Data Transfer | USB 3.0 speeds up to 5Gbps | Material | Premium aluminum alloy construction | Compatibility | MacBook Air/Pro with USB-C | Design | Ultra-slim profile matches MacBook thickness | Cable | Integrated USB-C cable | Colors | Space Gray, Silver",$79-$99,https://www.amazon.com/invzi-maghub-8-in-1-docking-station,Gadgets > Portable Display
LOT_055,LOT_055_IOGear_USB_C_Pro_Dock_with_Power_Delivery,IOGEAR 4-Port USB 3.0 SuperSpeed Hub,4 Stars,"The basic USB expansion that does exactly what it promises without unnecessary complications. Four USB 3.0 ports for people who still believe in wired connections and reliable data transfer. No fancy features, no premium materials—just honest port multiplication for honest people.","Ports | 4x USB 3.0 SuperSpeed ports | Data Transfer | Up to 5Gbps per port | Power | Bus-powered with optional external adapter | Compatibility | Windows, macOS, Linux | Backward Compatibility | USB 2.0/1.1 devices supported | Design | Compact desktop form factor | LED Indicators | Power and activity status lights | Cable | 3-foot USB 3.0 cable included | Dimensions | 4.3"" x 2.4"" x 0.8"" | Installation | Plug-and-play, no drivers required",$29-$39,https://www.amazon.com/iogear-4-port-usb-3-hub,PC
LOT_056,LOT_056_Apple_iPad_Air_M2_11_inch_with_Keyboard_Dock,Apple iPad Air 11-inch M2 with Smart Keyboard Dock,4 Stars,"The laptop replacement that actually replaces your laptop. M2 chip performance wrapped in tablet elegance, plus a keyboard that makes typing feel intentional again. This is for the productivity obsessed who refuse to choose between portability and power. Whether you're editing videos on a plane or running spreadsheets from a coffee shop, this setup makes 'mobile office' actually mean something.","Processor: M2 chip (8-core CPU, 10-core GPU) ; Display: 11"" Liquid Retina (2360x1640) ; Storage: 256GB unified memory ; Keyboard: Magic Keyboard with trackpad ; Battery: 10 hours mixed use",$599-$899,https://www.apple.com/ipad-air/,Gadgets > Portable Display
LOT_057,LOT_057_Apple_iPad_Mini_5th_Generation,Apple iPad Mini (5th Generation) - 7.9-inch,1 Star,"The tablet that proves size doesn't matter—performance does. This pocket powerhouse packs A12 Bionic muscle into a form factor that actually fits in your life. Perfect for digital nomads who need real computing power without the bulk, artists who want to sketch anywhere, and anyone who thinks regular iPads are obnoxiously large. It's the Swiss Army knife of tablets: compact, capable, and surprisingly essential once you own one.","Processor: A12 Bionic chip with Neural Engine ; Display: 7.9"" Retina (2048x1536, 326 ppi) ; Cameras: 8MP rear, 7MP FaceTime HD front ; Storage: 64GB WiFi model ; Compatibility: Apple Pencil (1st gen), Smart Keyboard",$499-$649,https://www.apple.com/ipad-mini/,Gadgets > Portable Display
LOT_058,LOT_058_Apple_iPhone_12_mini_128GB,Apple iPhone 12 Mini 128GB,3 Stars,"The iPhone 12 Mini is Apple's most compact iPhone featuring 5G connectivity, A14 Bionic chip, and advanced dual-camera system in a 5.4-inch design. With 128GB of storage, it offers flagship iPhone performance and features in the smallest form factor, perfect for users who prefer one-handed operation.","Display | 5.4-inch Super Retina XDR OLED (2340 x 1080) | Chip | A14 Bionic with 6-core CPU and 4-core GPU | Storage | 128GB | Camera | Dual 12MP system (Wide and Ultra Wide) | Video | 4K Dolby Vision HDR recording | 5G | Sub-6 GHz and mmWave (US models) | Face ID | TrueDepth camera system | Water Resistance | IP68 rating | MagSafe | Wireless charging and accessory compatibility | Colors | Black, White, Red, Green, Blue, Purple | Weight | 4.76 oz (135 grams)",$529-$629,https://www.apple.com/iphone-12/,Gadgets > Portable Display
LOT_061,LOT_061_Logitech_K780_Multi_Device_Wireless_Keyboard,Logitech K780 Multi-Device Wireless Keyboard,2 Stars,"The Logitech K780 is a versatile wireless keyboard that can connect to up to three devices simultaneously via Bluetooth or USB receiver. It features a built-in cradle for phones and tablets, full-size layout with numeric keypad, and seamless switching between connected devices with dedicated Easy-Switch buttons.","Connectivity | Bluetooth Smart + Logitech Unifying USB receiver | Multi-Device | Connect up to 3 devices simultaneously | Compatibility | Windows, macOS, Chrome OS, Android, iOS | Layout | Full-size with numeric keypad | Device Stand | Integrated cradle for phones/tablets | Battery | 2x AAA batteries (24-month life) | Keys | Quiet, comfortable typing experience | Range | 33ft (10m) wireless range | Dimensions | 15.9"" x 6.3"" x 0.9"" | Weight | 1.9 lbs",$79-$99,https://www.logitech.com/en-us/products/keyboards/k780-multi-device-wireless-keyboard.html,Apple
LOT_062,LOT_062_Lumary_2K_Floodlight_Security_Camera,Lumary 2K Smart Floodlight Security Camera with Dual Band Wi-Fi,2 Stars,"The Lumary 2K Smart Floodlight Camera combines powerful LED floodlighting with advanced security camera technology. Featuring 2K resolution, dual-band Wi-Fi, and smart home integration, it provides comprehensive outdoor security with motion detection, two-way audio, and smartphone alerts for complete property protection.","Resolution | 2K (2304 x 1296) high-definition video | Connectivity | Dual-band Wi-Fi (2.4GHz/5GHz) | Lighting | 2500 lumen LED floodlights | Detection | PIR motion sensor with customizable zones | Audio | Two-way audio communication | Night Vision | Color night vision with floodlight activation | Storage | Cloud storage and local microSD support | Smart Features | AI human detection, smartphone alerts | Weather Resistance | IP65 waterproof rating | Power | Hardwired installation (120-240V AC) | App Control | Lumary Smart app (iOS/Android) | Integration | Works with Alexa, Google Assistant",$149-$199,https://www.amazon.com/lumary-2k-floodlight-security-camera,Gadgets > Smart Home
LOT_063,LOT_063_Apple_MacBook_Air_M2_8GB_RAM,Apple MacBook Air 13-inch M2 (8GB RAM),4 Stars,"The MacBook Air with M2 chip delivers exceptional performance and all-day battery life in Apple's most portable laptop design. Featuring a stunning 13.6-inch Liquid Retina display, advanced cameras, and silent fanless operation, it's perfect for everyday computing, creative work, and professional tasks.","Chip | Apple M2 with 8-core CPU and 8-core GPU | Memory | 8GB unified memory | Storage Options | 256GB, 512GB, 1TB, 2TB SSD | Display | 13.6-inch Liquid Retina (2560 x 1664) | Camera | 1080p FaceTime HD camera | Audio | Four-speaker sound system with Spatial Audio | Ports | 2x Thunderbolt/USB 4, 3.5mm headphone jack, MagSafe 3 | Battery Life | Up to 18 hours | Weight | 2.7 lbs | Colors | Midnight, Starlight, Space Gray, Silver","$999-$1,199",https://www.apple.com/macbook-air/,Gadgets > Portable Display
LOT_064,LOT_064_PrinCube_World_s_Smallest_Mobile_Color_Printer,PrinCube Mobile Color Printer by Porodo,2 Stars,"The PrinCube by Porodo is the world's smallest mobile color printer, designed for instant printing anywhere. This compact handheld device connects wirelessly to smartphones and can print on various surfaces including paper, wood, fabric, and skin, making it perfect for creative projects, labeling, and on-the-go printing needs.","Size | 115 x 115 x 70mm (world's smallest color printer) | Weight | 350g | Connectivity | Wi-Fi, Bluetooth | Print Technology | Thermal inkjet | Colors | Full color printing (CMYK) | Surfaces | Paper, cardboard, wood, fabric, leather, skin | Resolution | 1200 x 1200 DPI | Print Speed | Up to 1.5 pages per minute | App | PrinCube mobile app (iOS/Android) | Battery | Rechargeable lithium battery | Cartridges | Replaceable ink cartridges",$299-$399,https://www.amazon.com/princube-mobile-color-printer,Apple
LOT_065,LOT_065_MeLE_Quieter3Q_Mini_PC_N5105,MeLE Quieter3Q Mini PC with Intel N5105 Processor,4 Stars,"The MeLE Quieter3Q is a compact fanless mini PC powered by Intel Celeron N5105 processor, designed for quiet operation and energy efficiency. This small form factor computer offers reliable performance for basic computing tasks, media streaming, and light office work while maintaining a virtually silent operation.","Processor | Intel Celeron N5105 Quad-Core (2.0GHz base, 2.9GHz boost) | Memory | 8GB LPDDR4 RAM | Storage | 128GB eMMC (expandable via M.2 SSD slot) | Graphics | Intel UHD Graphics | Ports | 2x HDMI 2.0, 4x USB 3.0, Gigabit Ethernet, 3.5mm audio | Wireless | Wi-Fi 5 (802.11ac), Bluetooth 4.2 | Design | Fanless, silent operation | Power | 12V/3A power adapter | Dimensions | 4.9"" x 4.9"" x 1.5"" | OS | Windows 11 Pro",$199-$299,https://www.amazon.com/mele-quieter3q-mini-pc,PC
LOT_066,LOT_066_Microsoft_Surface_Go_2_10_5_Touchscreen_8GB_Memory_128GB_SSD,"Microsoft Surface Go 2 - 10.5"" Touchscreen - 8GB Memory - 128GB SSD",4 Stars,"Microsoft's answer to 'what if a tablet could actually replace your laptop?' This isn't just a bigger phone screen—it's Windows 11 in a form factor that commutes better than your old laptop. Intel Pentium Gold processor handles real work, not just Netflix. Kickstand and keyboard sold separately because Microsoft believes in commitment. Perfect for the productivity-obsessed who refuse to compromise on either portability or functionality.","Processor: Intel Pentium Gold 4425Y ; Memory: 8GB RAM, 128GB SSD storage ; Display: 10.5"" PixelSense touchscreen (1920x1280) ; Battery: 10 hours typical usage ; Ports: USB-C, Surface Connect, headphone jack",$399-$599,https://www.microsoft.com/en-us/d/surface-go-2/8PT3S2VJMDR6; https://support.microsoft.com/en-us/surface/surface-go-2-specs-and-features,Gadgets > Portable Display
LOT_067,LOT_067_Anker_577_Thunderbolt_Docking_Station_13_in_1,Anker 577 Thunderbolt Docking Station (13-in-1),3 Stars,The desk setup that transforms your laptop into mission control. Thirteen ports of pure connectivity bliss for people who believe one cable should handle everything. Dual 4K display support because single-monitor peasantry is beneath you. This isn't just a hub—it's infrastructure for the digitally ambitious. Warning: May cause uncontrollable urge to reorganize your entire workspace around proper cable management.,"Ports: 13 total including Thunderbolt 4 ; Displays: Dual 4K @ 60Hz support ; Power Delivery: 85W laptop charging ; Data Transfer: 40Gbps Thunderbolt speeds ; Compatibility: MacBook, Surface, Dell XPS series",$299-$399,https://www.amazon.com/anker-thunderbolt-docking-station,Gadgets > Portable Display
LOT_068,LOT_068_Aokler_GPS_Dog_Tracker_Collar,Aokler GPS Dog Tracker Collar,4 Stars,"Peace of mind for dog parents who worry and dogs who wander. Real-time GPS tracking that turns your phone into mission control for your furry escape artist. Waterproof enough for swimming adventures, accurate enough for neighborhood searches. Because losing your keys is annoying—losing your dog is devastating. Perfect for anxious pet parents, adventure dogs, and Houdini breeds with questionable judgment.","GPS: Real-time location with 3m accuracy ; Battery: 7-day standby, 3-day active tracking ; Zones: Custom safe area alerts ; Waterproof: IP67 rating for all weather ; Compatibility: iOS/Android app with history",$49-$69,https://www.amazon.com/aokler-gps-dog-tracker,Apple
